API name,Main page link,Plan 1 name,Plan 1 link,Does plan 1 have an SLA?,Plan 1 SLA,Plan 2 name,Plan 2 link,Does plan 2 have an SLA?,Plan 2 SLA,Plan 3 name,Plan 3 link,Does plan 3 have an SLA?,Plan 3 SLA,Plan 4 name,Plan 4 link,Does plan 4 have an SLA?,Plan 4 SLA,Plan 5 name,Plan 5 link,Does plan 5 have an SLA?,Plan 5 SLA,Other plans,Metric 1 name,Metric 1 link,Metric 1 description,Is metric 1 domain dependent?,Does metric 1 have an explicit window?,Metric 1 window,Metric 2 name,Metric 2 link,Metric 2 description,Is metric 2 domain dependent?,Does metric 2 have an explicit window?,Metric 2 window,Metric 3 name,Metric 3 link,Metric 3 description,Is metric 3 domain dependent?,Does metric 3 have an explicit window?,Metric 3 window,Metric 4 name,Metric 4 link,Metric 4 description,Is metric 4 domain dependent?,Does metric 4 have an explicit window?,Metric 4 window,Metric 5 name,Metric 5 link,Metric 5 description,Is metric 5 domain dependent?,Does metric 5 have an explicit window?,Metric 5 window,Other metrics,Implicit metrics,Implicit metric description
Checkmarks,https://checkmarks.com/,Free,https://checkmarks.com/,No,,$20 USD,https://checkmarks.com/,No,,$40 USD,https://checkmarks.com/,No,,$80 USD,https://checkmarks.com/,No,,,,,,,Searches to Month,https://checkmarks.com/,Maximum number of searches that can be made per month.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Cloudflare,https://www.cloudflare.com/es-es/,Free,https://www.cloudflare.com/es-es/plans/,No,,Pro,https://www.cloudflare.com/es-es/plans/,Yes,Email support,Business,https://www.cloudflare.com/es-es/plans/,Yes,"Priority 24/7 chat and email support, 100% availability",Enterprise,https://www.cloudflare.com/es-es/plans/,Yes,"Priority 24/7 chat, email and phone support, 100% availability with compensation",,,,,,TLL expiration time,https://www.cloudflare.com/es-es/plans/,Expiration of the minimum cache ttl,No,No,,Customer load size,https://www.cloudflare.com/es-es/plans/,Maximum customer load size,No,No,,,,,,,,,,,,,,,,,,,,,No,
ConstantContact,https://www.constantcontact.com/es/price-plans,Email,https://www.constantcontact.com/es/price-plans,Yes,Contact Support,Email Plus,https://www.constantcontact.com/es/price-plans,Yes,Contact Support,,,,,,,,,,,,,,Users,https://www.constantcontact.com/es/price-plans,Number of users who can work on the same account with different roles.,No,No,,Emails/Month,https://www.constantcontact.com/es/price-plans,Number of maximum emails that can be sent in a month.,Yes,No,,,,,,,,,,,,,,,,,,,,,Yes,"IF You Send 50 Test Emails to Non-Verified Email Addresses Within A 24 Hour Period, The Test Email Feature Locks And You Are't Able to Send Any Test Emails, Including To Your Verified Addresses, For 24 Hours. Link: https://knowledgebase.constantcontact.com/articles/knowledgebase/6096-email-preview-test-limit?q=limit*&lang=en_US."
ConvertAPI,www.convertapi.com,Free Plan 1500 seconds of conversions (per month),https://www.convertapi.com/prices,Yes,99.99% High Availability,6000 seconds of conversions  (per month),https://www.convertapi.com/prices,Yes,99.99% High Availability,30000 seconds of conversions  (per month),https://www.convertapi.com/prices,Yes,99.99% High Availability,90 000 second of conversions  (per month),https://www.convertapi.com/prices,Yes,99.99% High Availability,300000 seconds of conversions  (per month),https://www.convertapi.com/prices,Yes,99.99% High Availability,"
",Active file conversion time,https://www.convertapi.com/prices,"The API provides users, according to the contracted plan, some active time on the part of the server for the conversion of client files",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Currency Cloud,https://www.currencycloud.com/,Free,https://www.currencycloud.com/developers/register-for-an-api-key/,No,,,,,,,,,,,,,,,,,,,Pay,https://www.currencycloud.com/#,Automate The End-to-End Payment Process And Send Money To Bank Accounts Anywhere In The World.,Yes,No,,Convert,https://www.currencycloud.com/#,Access Real-Time Wholesale FX Rats and Eliminate Risk.,Yes,No,,Collect,https://www.currencycloud.com/#,Make It Easier For Your Customers To Get Paid With Local Accounts.,Yes,No,,Manage,https://www.currencycloud.com/#,Give Your Customers Complete Control With Their Digital Multi-Currency Account.,Yes,No,,,,,,,,,No,
Currencylayer,https://currencylayer.com/,Free,https://currencylayer.com/product,Yes,"99.9% availability, limited support",Basic,https://currencylayer.com/product,Yes,"99.9% availability, basic upport",Professional,https://currencylayer.com/product,Yes,"99.9% availability,  premium support",Business,https://currencylayer.com/product,Yes,"99.9% avaliability, premium support",,,,,,Requests,https://currencylayer.com/product,The number of requests according to the chosen plan is limited.,No,No,,Updates,https://currencylayer.com/product,Frequency with which the information is updated,No,Yes,"According to the plan, it is specified that the window is per day, per hour, every 10 minutes and every 60 seconds for the Free, Basic, Professional and Business plans respectively",,,,,,,,,,,,,,,,,,,,No,
Debitoor,https://debitoor.com/,XS,https://debitoor.com/pricing,No,,S,https://debitoor.com/pricing,No,,M,https://debitoor.com/pricing,No,,L,https://debitoor.com/pricing,No,,,,,,,Invoices & Expenses,https://debitoor.com/pricing,Maximum number of invoices that can be stored per year,Yes,No,,Users,https://debitoor.com/pricing,Number of maximum users,No,No,,VAT/P & L & Balance Sheet Reports,https://debitoor.com/pricing,"Limitation of reports on VAT, Results and Balance",Yes,No,,Requests/hout,https://developers.debitoor.com/,Maximum of 2500 requests per hour,No,No,,,,,,,,,No,
disqus,https://disqus.com/,Plus,https://disqus.com/pricing/,No,,Pro,https://disqus.com/pricing/,No,,Business,https://disqus.com/pricing/,No,,,,,,,,,,,PageViews,https://disqus.com/pricing/,the total number of daily pages that you can reach to visualize,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
DocuSign,https://www.docusign.com,Starter,https://www.docusign.com/products-and-pricing/api-plans,Yes,99.99% availability,Intermediate,https://www.docusign.com/products-and-pricing/api-plans,Yes,99.99% availability,Advanced,https://www.docusign.com/products-and-pricing/api-plans,Yes,99.99% availability,Free,https://www.docusign.com/products-and-pricing/api-plans,Yes,99.99% availability,Enterprise plan,https://www.docusign.com/products-and-pricing/api-plans,Yes,99.99% availability,,Request limit per month,https://www.docusign.com/products-and-pricing/api-plans,"If the contracted limit is exceeded, the provider is committed to contacting the client to offer you the opportunity to upgrade to higher volume plans",No,No,,Technical help,https://www.docusign.com/products-and-pricing/api-plans,"If the user needs technical assistance, Docusign has a very active community in Github, in which doubts resolve. And they also have tutorials and open codes",No,No,,Try API for free,https://www.docusign.com/products-and-pricing/api-plans,"Before hiring a plan, the provider offers to test your services for free",No,No,https://www.docusign.com/products-and-pricing/ap-plans,Business Offers,https://www.docusign.com/products-and-pricing/api-plans,"If the client is a company, the provider agrees to advise to get a greater number of requests",No,No,,Log in to more than 43 languages,https://www.docusign.com/products-and-pricing/api-plans,The provider is committed to offering a panel with more than 43 languages,No,No,,,Not sure,
Domaintools,https://www.domaintools.com/,Personal Membership,https://www.domaintools.com/products/domain-research/pricing/,No,,,,,,,,,,,,,,,,,,,Whois Lookup,https://www.domaintools.com/products/domain-research/pricing/,Search for domains and return of the profile of the domain (200 per day),Yes,No,,Whois History,https://www.domaintools.com/products/domain-research/pricing,Number of searches on Whois historical records (25 monthly),Yes,No,,Hosting History,https://www.domaintools.com/products/domain-research/pricing,"Enter any domain name and hosting history will show the IP address, name server and recorder history. (25 per month)",Yes,No,,Domain Search,https://www.domaintools.com/products/domain-research/pricing,It is based on the search for domains (5 per month),Yes,No,,Reverse IP Lookup,https://www.domaintools.com/products/domain-research/pricing,The reverse IP search allows you to discover all domain names (in the main TLDs) hosted in any given IP address. (5 monthly),Yes,No,,"Reverse NS LookUp {5, HTTPS: //www.domaintools.com/products/domain-research/Priing.5, No.}

Reverse Whois {3, https: //www.domainools.com/products/domain-research/priing,3, no}

Reverse IP Whois {3, HTTPS: //www.domainools.com/products/domain-research/Priing.3, No.}

Domain Monitor {1000, https: //www.domainools.com/products/domain-research/pricing,1000,, No.}

Brand Monitor {3, https: //www.domainools.com/products/domain-research/priing.3,, No.}

Name Server Monitor {3, https: //www.domainools.com/products/domain-research/prising,3,,1.No}

Registrant Monitor {3, https: //www.domainools.com/products/domain-research/prixture.3, no}

IP Monitor {3, https: //www.domainools.com/products/domain-research/priing,3, no}

Domain Report {5, HTTPS: //www.domainools.com/products/domain-research/prising.5, No.}",Not sure,
Doubleclick,https://ads.google.com/home/,Basic access,https://developers.google.com/google-ads/api/docs/rate-sheet,Yes,Variable,Standard access,https://developers.google.com/google-ads/api/docs/rate-sheet,Yes,Variable,Trial,https://developers.google.com/google-ads/api/docs/rate-sheet,Not sure,,,,,,,,,,,Requests/day limit daily operation,https://developers.google.com/google-ads/api/docs/access-levels,"15000 test, 15000 basic and unlimited standard",No,No,,Daily Limit Get Requests/Day,https://developers.google.com/google-ads/api/docs/access-levels,1000 requests per day,Yes,No,,,,,,,,,,,,,,,,,,,,,Yes,ToomanMutateoperations https://developers.google.com/google-ads/api/docs/best-practices/ iquots.
Dropbox,https://www.dropbox.com/,Basic,https://www.dropbox.com/plans?tab=personal,No,,Plus,https://www.dropbox.com/plans?tab=personal,Yes,Priority email support,Family,https://www.dropbox.com/plans?tab=personal,Yes,Priority email support,Professional,https://www.dropbox.com/plans?tab=work,Yes,"Priority email support, live chat",Standard,https://www.dropbox.com/plans?tab=work,Yes,"Priority email support, live chat, phone support","Advanced, https://www.dropbox.com/plans?tab=work, Yes, Priority email support, live chat, phone support",Storage,https://www.dropbox.com/plans?tab=personal,Number of default space Recbes,Yes,No,,Users,https://www.dropbox.com/plans?tab=personal,Number of users associated with your plan,No,No,,Dropbox Transfer,https://www.dropbox.com/plans?tab=work,Data size that can be sent to any recipient,Yes,No,,HELLOSIM electronic signatures,https://www.dropbox.com/plans?tab=work,Number of documents for electronic signature that can be sent,Yes,No,,,Recuperación de archivos e historial de versiones,Maximum time from which you can restore a previous version of files,Yes,No,,"Dropbox rewind, https://www.dropbox.com/plans?tab=work, amount of time from which a previous Dropbox version can be recovered to restore the system after an attack, yes, no",Yes,"There is an error 429 for exceeding bandwidth, https://help.dropbox.com/es-en/files-folders/Share/Banned-links"
Ecwid,https://www.ecwid.com/es/,Free,https://www.ecwid.com/es/pricing,No,,Venture,https://www.ecwid.com/es/pricing,No,,Business,https://www.ecwid.com/es/pricing,No,,Unlimited,https://www.ecwid.com/es/pricing,No,,,,,,,Number of products,https://www.ecwid.com/es/pricing,Limit of store products,Yes,No,,Digital items,https://www.ecwid.com/es/pricing,Maximum weight of digital items sold,Yes,No,,,,,,,,,,,,,,,,,,,,,No,
Email Labs,https://emaillabs.io/en/pricing/,Startup,https://emaillabs.io/en/pricing/,No,,Essential,https://emaillabs.io/en/pricing/,No,,PRO,https://emaillabs.io/en/pricing/,Yes,SLA y VIP SLA,Enterprise,https://emaillabs.io/en/pricing/,Yes,SLA and VIP SLA,,,,,,Mail per month,https://emaillabs.io/en/pricing/,Number of mails that can be sent per month,Yes,No,,Records Retention Days,https://emaillabs.io/en/pricing/,Number of days that remains in the registry,No,No,,IPS dedicated,https://emaillabs.io/en/pricing/,Number of dedicated IPS,No,No,,,,,,,,,,,,,,,No,
Eversing,https://eversign.com/,Free,https://eversign.com/pricing,No,,Basic,https://eversign.com/pricing,Yes,Premium support,Professional,https://eversign.com/pricing,Yes,Premium support,Professional plus,https://eversign.com/pricing,Yes,Premium support,Enterprise,https://eversign.com/pricing,Yes,Premium support,,Teams,https://eversign.com/pricing,"Number of members who will use the API, from 1 member to those needed in the Enterprise plan.",No,No,,Merge Documents,https://help.eversign.com/hc/en-us/articles/900006516363-Are-There-Any-Software-Limitations-I-Should-Be-Aware-Of-,Limit documents that can be combined in a single Eversing document.,Yes,No,,Maximum file size,https://help.eversign.com/hc/en-us/articles/900006516363-Are-There-Any-Software-Limitations-I-Should-Be-Aware-Of-,Loaded files can not exceed 30MB,No,No,,,,,,,,,,,,,,,No,
Exchangerates,https://exchangeratesapi.io/,Free,https://exchangeratesapi.io/pricing/,Yes,Limited support,Basic,https://exchangeratesapi.io/pricing/,Yes,Basic support,Professional,https://exchangeratesapi.io/pricing/,Yes,Premium support,Business,https://exchangeratesapi.io/pricing/,Yes,Premium support,Enterprise Pricing,https://exchangeratesapi.io/pricing/,Yes,Custom SLA,,Requests/month,https://exchangeratesapi.io/pricing/,Limit of requests according to plan you can do to the API monthly.,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Within the limits of requests that each plan contemplates, there is a margin within which the user is allowed to pass, around 20% above the limit they hire. As I have reviewed, once the limit is passed the margin (the system warns you when you approach the limit and when you go up) an error code 104 is returned. Review: https://exchangeatesapi.io/documentation/ "" Potential errors ""and"" What happens if i exceed my api request volume? "" at: https://exchangeatesapi.io/faq/"
Feedly,https://feedly.com/,Pro,https://feedly.com/i/pro/proStripeYearly,No,,Pro+,https://feedly.com/i/pro/welcome,No,,Enterprice,https://feedly.com/i/pro/enterprise,No,,,,,,,,,,,Shared Notes and Highlights,https://developer.feedly.com/v3/annotations/,Shared notes,Yes,No,,"Save to Evernote, Pocket, and OneNote",,"Save data on Evernote, OneNote and Pocket",No,No,,SSO/SAML,https://developer.feedly.com/v3/auth/,Unique authentication service,No,No,,"Team Feeds, Boards, And Newsletters",https://developer.feedly.com/v3/boards/,"Manage personal boards, also known as labels.",No,No,,Twitter Feeds,https://developer.feedly.com/v3/twitter/,Integration with Twitter,Yes,No,,,Not sure,
Flickr,https://www.flickr.com/account/upgrade/pro,Monthly plan,https://www.flickr.com/account/upgrade/pro,No,,Yearly plan,https://www.flickr.com/account/upgrade/pro,No,,Pro,https://www.flickr.com/account/upgrade/pro,No,,,,,,,,,,,Storage,https://www.flickr.com/account/upgrade/pro,Personal storage available on Flickr servers,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Getpocket,https://getpocket.com/premium,Free,https://getpocket.com/premium,Yes,Fast customer support,Yearly plan,https://getpocket.com/premium,Yes,"No ads, fast customer support",Monthly plan,https://getpocket.com/premium,Yes,"No ads, fast customer support",,,,,,,,,,Advertising,https://help.getpocket.com/article/1152-what-is-the-difference-between-pocket-free-and-premium-accounts,Experience with or without advertising on all Pocket products according to whether the plan is free or premium,No,No,,searches,https://help.getpocket.com/article/1152-what-is-the-difference-between-pocket-free-and-premium-accounts,"With the prima subscription new additional features are added to searches. (Recent, labels, advanced, simultaneous etc)",Yes,Not sure,,Highlighted,https://help.getpocket.com/article/1152-what-is-the-difference-between-pocket-free-and-premium-accounts,"While the free version limits users to 3 aspects by article, Premium eliminates this limit.",Not sure,No,,Labels,https://help.getpocket.com/article/1152-what-is-the-difference-between-pocket-free-and-premium-accounts,Intelligent tags are added while being subscribed to Pocket Premium,Not sure,No,,Library,https://help.getpocket.com/article/1152-what-is-the-difference-between-pocket-free-and-premium-accounts,"While it is subscribed to Pocket Premium, the items and web pages you store will be copied automatically in your permanent library. Therefore, even if the content you have saved or is deleted from the web, you can still access it in Pocket",Not sure,No,,,No,
Getresponse,https://www.getresponse.com/es,BASIC,https://secure.getresponse.com/pricing/es?_ga=2.54237736.1659348231.1622287530-990856152.1622287530&_gac=1.219341419.1622287850.CjwKCAjwzMeFBhBwEiwAzwS8zG5YO7au0QvUb6aPjxhfaTVU9mXo7p3pJJvyoQSXG68YQOQshwy2phoC7FsQAvD_BwE,No,,PLUS,https://secure.getresponse.com/pricing/es?_ga=2.156325691.1659348231.1622287530-990856152.1622287530&_gac=1.217711076.1622288152.CjwKCAjwzMeFBhBwEiwAzwS8zKbQ7Nli_UScaMZ3N7o8YctGRhbWNdU83API8NaAOkbZoPKTKGGLTxoCXmMQAvD_BwE,No,,PROFESSIONAL,https://secure.getresponse.com/pricing/es?_ga=2.156325691.1659348231.1622287530-990856152.1622287530&_gac=1.217711076.1622288152.CjwKCAjwzMeFBhBwEiwAzwS8zKbQ7Nli_UScaMZ3N7o8YctGRhbWNdU83API8NaAOkbZoPKTKGGLTxoCXmMQAvD_BwE,No,,MAX,https://secure.getresponse.com/pricing/es?_ga=2.156325691.1659348231.1622287530-990856152.1622287530&_gac=1.217711076.1622288152.CjwKCAjwzMeFBhBwEiwAzwS8zKbQ7Nli_UScaMZ3N7o8YctGRhbWNdU83API8NaAOkbZoPKTKGGLTxoCXmMQAvD_BwE,Yes,Platform and migration support,,,,,,Users,https://secure.getresponse.com/pricing/es?_ga=2.156325691.1659348231.1622287530-990856152.1622287530&_gac=1.217711076.1622288152.CjwKCAjwzMeFBhBwEiwAzwS8zKbQ7Nli_UScaMZ3N7o8YctGRhbWNdU83API8NaAOkbZoPKTKGGLTxoCXmMQAvD_BwE,Limit of users to work as a team,No,No,,Webinars,https://secure.getresponse.com/pricing/es?_ga=2.41457314.1659348231.1622287530-990856152.1622287530&_gac=1.16535236.1622288908.CjwKCAjwzMeFBhBwEiwAzwS8zOy6EXy_hIJrFQVYLzg6QsY4pe5Jkq0wlUIQ_PyDYHnuo_ZQ8Pr0aRoCZawQAvD_BwE,"Formative content in video format that is taught through the Internet, limiting the number of attendees",Yes,Not sure,,Sale funnels,https://secure.getresponse.com/pricing/es?_ga=2.41457314.1659348231.1622287530-990856152.1622287530&_gac=1.16535236.1622288908.CjwKCAjwzMeFBhBwEiwAzwS8zOy6EXy_hIJrFQVYLzg6QsY4pe5Jkq0wlUIQ_PyDYHnuo_ZQ8Pr0aRoCZawQAvD_BwE,Maximum number of sale funnels that can be done,Not sure,No,,Creator of automation,https://secure.getresponse.com/pricing/es?_ga=2.41457314.1659348231.1622287530-990856152.1622287530&_gac=1.16535236.1622288908.CjwKCAjwzMeFBhBwEiwAzwS8zOy6EXy_hIJrFQVYLzg6QsY4pe5Jkq0wlUIQ_PyDYHnuo_ZQ8Pr0aRoCZawQAvD_BwE,Maximum number of workflows,No,No,,,,,,,,,Not sure,
GitHub,https://github.com,Free,https://github.com/pricing,No,,Team,https://github.com/pricing,Yes,Web support,Enterprise,https://github.com/pricing,Yes,Premium support,,,,,,,,,,"2,000 minutes of automation/month",https://github.com/pricing,Minutes of execution for runners hosted to automate their workfoot,No,No,,50 GB of package storage,https://github.com/pricing,Accommodation from your own packages or dependence on the other work project,No,No,,Property,https://docs.github.com/es/enterprise-server@3.0/insights/exploring-your-usage-of-github-enterprise/metrics-available-with-github-insights,Percentage of breakdown of code lines added and modified by the last collaborator to add or change each line of code.,No,,,Code lines added and changed,https://docs.github.com/es/enterprise-server@3.0/insights/exploring-your-usage-of-github-enterprise/metrics-available-with-github-insights,Total count of the new lines of code added in addition to the modified code lines. You can include or exclude a renewal code.,No,,,,,,,,,,No,
Google Custom Search,https://developers.google.com/custom-search,Standard Search Element,https://developers.google.com/custom-search/docs/element,No,,Non-profit Search Element,https://support.google.com/programmable-search/answer/4542102,No,,Custom Search JSON API	,https://developers.google.com/custom-search/v1/overview,No,,Custom Search Site Restricted JSON API,https://developers.google.com/custom-search/v1/site_restricted_api,No,,,,,,,Daily requests,https://developers.google.com/custom-search/docs/overview#available_apis,Maximum number of daily requests,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Gtmetrix,https://gtmetrix.com/,Basic,https://gtmetrix.com/pricing.html,No,,Solo,https://gtmetrix.com/pricing.html,No,,Starter,https://gtmetrix.com/pricing.html,No,,,Growth,No,,,,,,,Monitored Slots,https://gtmetrix.com/pricing.html,Number of pages that you can monitor with this plan,Yes,No,,Daily API Credits,https://gtmetrix.com/pricing.html,Number of API credits you can have to use at the GTMetrix API daily,Yes,No,,Data Retention (Months),https://gtmetrix.com/pricing.html,Number of months that the information will be stored until it is deleted,Yes,No,,Weekly On-Demand Tests,https://gtmetrix.com/pricing.html,Number of tests on demand you can make in a period of 7 days.,Yes,No,,,,,,,,,Yes,API Rate Limiting: Number of requests allowed less than or equal to the limit. https://gtmetrix.com/api/docs/2.0/#api-reat-limit.
Here,https://developer.here.com,Freemium,https://developer.here.com/pricing,Yes,Support via StackOverflow,Add-on,https://developer.here.com/pricing,Yes,Support via StackOverflow,Pro,https://developer.here.com/pricing,Yes,Support via Customer Support Portal,,,,,,,,,,Transactions/Months,https://developer.here.com/pricing,Limit the number of transactions per month that can be made.,No,No,,Active Users/Month,https://developer.here.com/pricing,Limit of the number of active users per month,No,No,,Data Layer for Cities,https://developer.here.com/pricing,A capture of the mosaic of the map of a city,Yes,No,,Data Transfer/Month,https://developer.here.com/pricing,Maximum amount of data that can be transmitted per month.,No,No,,Database Storage/Month,https://developer.here.com/pricing,Maximum storage amount of which we have per month.,No,No,,"Request / Seconds, https://developer.here.com/prising, maximum requests per second, no, yes, Advanced Data Sets: Up to 100 Requests Per Hour and 1,000 per Day.",Yes,
