Metric,Description,Domain independent,Capacity correlation,Categorization,Explicit window type,Intuitive rate/quota,Original name,Rate/quota
Simultaneous connections,Users that can connect simultaneously,Yes,Yes,Users,No,No,Simultaneous connections,Quota
Requests/hour,Requests per hour,Yes,Yes,Requests/TU,No*,Yes,Rate limit,Rate
Action minutes,Minutes per month that GitHub CI can be used,No,Yes,Other,No,Yes,Minutes per month,Quota
Package storage,GitHub package storage size,No,No,Storage,No,No,Storage,Quota
Transactions/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Transactions per month,Quota
Users,Active users of an application,Yes,No,Users,No,No,Monthly active users,Quota
Assets,Assets to be used,No,No,Other,No,No,Assets per month,Quota
Data transfer,Data to be transfered,Yes,No,Upload,No,No,Data transfer per month,Quota
Database storage,Maximum user storage size,Yes,No,Storage,No,No,Database storage per month,Quota
Credits,Credits which are consumed when sending requests,No,Yes,Credits,No,Yes,Credits,Rate
Requests/5 seconds,Requests per 5 seconds,Yes,Yes,Requests/TU,No*,Yes,Rate limit,Rate
Mailings,Emails to be sent,No,Yes,Emails,No,Yes,Monthly mailings,Quota
Users,Users which can use the account,Yes,No,Users,No,No,Users,Quota
Webhooks,Webhooks to be added,Yes,No,Integrations,No,No,Webhooks,Quota
Templates,Email templates,No,No,Emails,No,No,HTML templates,Quota
Book entries,Contacts to be saved in an address book,No,No,Contacts,No,No,Address book entries,Quota
Requests/5 minutes,Requests per 5 minutes,Yes,Yes,Requests/TU,No,Yes,-,Rate
Contacts,Contacts to be saved in an account,No,No,Contacts,No,No,Contacts,Quota
Emails/month,Emails to be sent,No,Yes,Emails,No,Yes,Monthly email sends,Quota
Requests/minute,Requests per minute,Yes,Yes,Requests/TU,No,Yes,Requests per minute,Rate
Emails,Emails to be sent,No,Yes,Emails,No,Yes,Emails,Quota
Validations,Email address to be validates,No,No,Emails,No,No,Email address validations,Quota
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Peticiones/mes,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,Peticiones/segundo,Rate
Dictionaries,Custom dictionaries for topic or sentiment extraction,No,No,AI,No,No,Dictionaries,Quota
Entries per dictionary,Words that can be included in each dictionary,No,No,AI,No,No,Entries per dictionary,Quota
Classification models,Custom classification models with custom categories,No,No,AI,No,No,Classification models,Quota
Categories per model,Categories that can be included in each classification model,No,No,AI,No,No,Categories per model,Quota
Sentiment models,Custom sentiment models,No,No,AI,No,No,Sentiment models,Quota
Entries per model,Entries that can be included in each sentiment model,No,No,AI,No,No,Entries per model,Quota
Deep cat. models,Custom deep categorization models with custom categories,No,No,AI,No,No,Deep cat. models,Quota
Deep cat. per model,Categories that can be included in each deep categorization model,No,No,AI,No,No,Categories per model,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,Call rate limit,Rate
Rows/month,Rows to be selected,No,Yes,Other,No,Yes,Rows per month,Quota
Active users,Final users which send requests,Yes,No,Users,No,No,Active users (MAU),Quota
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Calls/month,Quota
Requests/minute,Requests per minute,Yes,Yes,Requests/TU,No,Yes,Calls/minute,Rate
Requests/day,Requests per day,Yes,Yes,Requests/TU,No,Yes,Calls/day,Quota
History,Time back in which history can be recovered,No,No,History,No,No,"Month back, year back",Quota
Square degrees,Size of the area of a map,No,No,Other,No,No,Square degrees,Quota
Update frequency,Maximum time in which the API data is updates,No,No,Other,No,No,Data update,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,Rate limit,Rate
Users,Total app users,Yes,No,Users,No,No,Total users,Quota
Storage,Maximum user storage size,Yes,No,Storage,No,No,-,Quota
File size,Maximum uploaded file size,Yes,No,Upload,No,No,File size limit,Quota
Data retention,Time in which data is not deleted,No,No,Storage,No,No,Data retention,Quota
Requests/week,Requests per week,Yes,Yes,Requests/TU,Reset every 7 days,Yes,Weekly quota,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,Throttling rate,Rate
Views,Specific information to be received,No,No,Results,No,No,Views,Quota
Max results,Maximum number of results to be received per request,Yes,Yes,Results,No,No,Results,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,Rate limit,Rate
IPs/month,IPs to be analyzed,No,Yes,IPs,No,Yes,IPs per month,Quota
Results/month,Results to be received,Yes,Yes,Results,No,Yes,Results per month,Quota
Monitoring IPs,IPs to be monitored,No,No,IPs,No,No,Network monitoring,Quota
Requests/24 hours,Requests per day,Yes,Yes,Requests/TU,24-hour time windows,Yes,Rate limit,Rate
Upload size,Maximum uploaded file size,Yes,No,Upload,No,No,-,Quota
Requests/30 days,Requests per month,Yes,Yes,Requests/TU,"Rolling 30 days, wherein calls from the 31st day will fall off of the total number of calls requested",Yes,Requests for a 30 day period,Quota
Total contacts,Contacts to be saved in an account,No,No,Contacts,No,No,Total contacts,
Contacts per group,Contacts to be added to a group,No,No,Contacts,No,No,Contacts per group,
Contacts per CSV,Contacts to be added to a CSV file,No,No,Contacts,No,No,Contacts per CSV,
Recipients,Recipients to be added to an email,No,Yes,Emails,No,No,Contacts (recipients) you can add to each Email Invitation collector,
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,-,Quota
Requests/day,Requests per day,Yes,Yes,Requests/TU,Reset at 12:00 AM GMT,Yes,Rate limit,Rate
Requests/minute,Requests per minute,Yes,Yes,Requests/TU,No*,Yes,Rate limit,Rate
Sent emails,Emails to be sent,No,Yes,Emails,Rolling 24 hour period,Yes,Daily sending limit,Quota
Rate violations,Number of times in which a rate can be violated,Yes,No,Requests,No,No,Violations,Rate
Requests/minute,Requests per minute,Yes,Yes,Requests/TU,No*,Yes,Rate limit,Rate
Emails,Emails to be sent,No,Yes,Emails,No,Yes,Emails/month,Quota
Validations,Email validations,No,Yes,Emails,No,No,Email validations,Quota
Requests/day,Requests per day,Yes,Yes,Requests/TU,Reset every midnight UTC time,Yes,Daily limit,Quota
