API,Metrics links,Main link,No explicit limitations,Metrics,Plans with SLA,Document where rates are specified,Rates links
htm2pdf,https://www.htm2pdf.co.uk/plans-and-pricing/,https://www.htm2pdf.co.uk/plans-and-pricing/,No,Credits,No,,
Lob,"https://www.lob.com/pricing/print-mail, https://docs.lob.com/#rate-limits",https://www.lob.com/pricing/print-mail,No,"Requests, mailings, users, webhooks, templates, book entries",SLA mentioned,API documentation,https://docs.lob.com/#rate-limits
Mailchimp,https://mailchimp.com/pricing/compare-plans/,https://mailchimp.com/pricing/compare-plans/,No explicit rates,"Requests, contacts, emails",No,,
Mailgun,"https://www.mailgun.com/plans-and-pricing/, https://documentation.mailgun.com/en/latest/api-domains.html#domains",https://www.mailgun.com/plans-and-pricing/,No,"Requests, emails, validations",99.99% uptime mentioned,API documentation,https://documentation.mailgun.com/en/latest/api-domains.html#domains
Meaningcloud,https://www.meaningcloud.com/products/pricing,https://www.meaningcloud.com/products/pricing,No,"Requests, dictionaries, entries per dictionary, classification models, categories per model, sentiment models, entries per model, deep cat. models, deep cat. per model",No,Pricing plan,https://www.meaningcloud.com/es/productos/precios
Moz,https://moz.com/products/api/pricing,https://moz.com/products/api/pricing,No,"Requests, rows",No,Pricing plan,https://moz.com/products/api/pricing
Nutritionix,https://www.nutritionix.com/business/api,https://www.nutritionix.com/business/api,No,Active users,Uptime mentioned,,
OpenWeatherMap,https://openweathermap.org/price,https://openweathermap.org/price,No,"Requests, history, square degrees, update frequency",SLA and uptime mentioned,Pricing plan,https://openweathermap.org/price
Quickblox,"https://quickblox.com/pricing/, https://docs.quickblox.com/reference/limits",https://quickblox.com/pricing/,No,"Requests, users, storage, file size, data retention",SLA mentioned,API documentation,https://docs.quickblox.com/reference/limits
Scopus,https://dev.elsevier.com/api_key_settings.html,https://dev.elsevier.com/api_key_settings.html,No,"Requests, views, max results",No,API documentation,https://dev.elsevier.com/api_key_settings.html
Shodan,https://developer.shodan.io/pricing,https://developer.shodan.io/pricing,No,"Requests, IPs, results, monitoring IPs",No,Pricing plan,https://developer.shodan.io/pricing
SoundCloud,"https://developers.soundcloud.com/docs/api/rate-limits, https://developers.soundcloud.com/docs/api/guide#uploading",https://developers.soundcloud.com/docs/api/rate-limits,No,"Requests, upload size",No,API documentation,https://developers.soundcloud.com/docs/api/rate-limits
Sportradar,https://developer.sportradar.com/API_Packaging,https://developer.sportradar.com/API_Packaging,No,Requests,No,,
Surveymonkey,"https://surveymonkey.com/pricing/individual/details/, https://developer.surveymonkey.com/api/v3/#request-and-response-limits, https://help.surveymonkey.com/articles/en_US/kb/Is-there-a-limit-on-the-number-of-emails-I-can-send",https://surveymonkey.com/pricing/individual/details/,No,"Total contacts, contacts per group, contacts per CSV, recipients, sent emails, requests, rate violations",No,API documentation,https://developer.surveymonkey.com/api/v3/#request-and-response-limits
Twilio,"https://sendgrid.com/pricing/, https://sendgrid.com/docs/ui/account-and-settings/billing/#overages",https://sendgrid.com/pricing/,"No specific rates, each endpoint has a different one","Requests, emails, validations",No,,
Yelp,"https://www.yelp.com/developers/documentation/v3/rate_limiting, https://www.yelp.com/developers/documentation/v3/qps_rate_limiting",https://www.yelp.com/developers/documentation/v3,No explicit rates and VIP plan,Requests,No,API documentation,https://www.yelp.com/developers/documentation/v3/qps_rate_limiting
ADSBexchange,https://rapidapi.com/adsbx/api/adsbexchange-com1/pricing,https://rapidapi.com/adsbx/api/adsbexchange-com1,No,Requests,No,,
Airport On-Time Performance,https://rapidapi.com/amadeus-for-developers-amadeus-for-developers-default/api/airport-on-time-performance/pricing,https://rapidapi.com/amadeus-for-developers-amadeus-for-developers-default/api/airport-on-time-performance/,No,Requests,No,,
API-Football,https://rapidapi.com/api-sports/api/api-football/pricing,https://rapidapi.com/api-sports/api/api-football/,No,Requests,No,Pricing plan,https://rapidapi.com/api-sports/api/api-football/pricing
Bionic Reading,https://rapidapi.com/bionic-reading-bionic-reading-default/api/bionic-reading1/pricing,https://rapidapi.com/bionic-reading-bionic-reading-default/api/bionic-reading1/,No,Requests,No,,
boundaries-io,https://rapidapi.com/VanitySoft/api/boundaries-io-1/pricing,https://rapidapi.com/VanitySoft/api/boundaries-io-1/,No,Requests,No,,
Custom QR Code with Logo,https://rapidapi.com/qrcode-monkey/api/custom-qr-code-with-logo/pricing,https://rapidapi.com/qrcode-monkey/api/custom-qr-code-with-logo/,No,Requests,No,Pricing plan,https://rapidapi.com/qrcode-monkey/api/custom-qr-code-with-logo/pricing
Football Prediction,https://rapidapi.com/boggio-analytics/api/football-prediction/pricing,https://rapidapi.com/boggio-analytics/api/football-prediction/,No,Requests,No,,
GeoDB Cities,https://rapidapi.com/wirefreethought/api/geodb-cities/pricing,https://rapidapi.com/wirefreethought/api/geodb-cities/,No,"Requests, paging, radius",No,Pricing plan,https://rapidapi.com/wirefreethought/api/geodb-cities/pricing
Imgur,https://rapidapi.com/imgur/api/imgur-9/pricing,https://rapidapi.com/imgur/api/imgur-9/,No,"Requests, uploads",No,,
ListenNotes,https://rapidapi.com/listennotes/api/listennotes/pricing,https://rapidapi.com/listennotes/api/listennotes/,No,Requests,No,,
Meme Generator,https://rapidapi.com/meme-generator-api-meme-generator-api-default/api/meme-generator/pricing,https://rapidapi.com/meme-generator-api-meme-generator-api-default/api/meme-generator/,No,Requests,No,,
Opengraph io,https://rapidapi.com/opengraph/api/opengraph-io/pricing,https://rapidapi.com/opengraph/api/opengraph-io/,No,Requests,No,,
Recipe - Food - Nutrition,https://rapidapi.com/spoonacular/api/recipe-food-nutrition/pricing,https://rapidapi.com/spoonacular/api/recipe-food-nutrition/,No,"Requests, results",https://rapidapi.com/spoonacular/api/recipe-food-nutrition/pricing,Pricing plan,https://rapidapi.com/spoonacular/api/recipe-food-nutrition/pricing
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/pricing,https://rapidapi.com/sendgrid/api/sendgrid/,No,"Requests, emails",No,Pricing plan,https://rapidapi.com/sendgrid/api/sendgrid/pricing
Telize,https://rapidapi.com/fcambus/api/telize/pricing,https://rapidapi.com/fcambus/api/telize/,No,Requests,No,,
TheRundown,https://rapidapi.com/therundown/api/therundown/pricing,https://rapidapi.com/therundown/api/therundown/,No,Requests,https://rapidapi.com/therundown/api/therundown/pricing,,
Trip Purpose Prediction,https://rapidapi.com/amadeus-for-developers-amadeus-for-developers-default/api/trip-purpose-prediction2/pricing,https://rapidapi.com/amadeus-for-developers-amadeus-for-developers-default/api/trip-purpose-prediction2/,No,Requests,No,,
Twilio Lookup,Not available,Not available,No,Requests,No,,
Twilio Verify Phone Number,Not available,Not available,No,Requests,No,,
uNoGS,https://rapidapi.com/unogs/api/unogs/pricing,https://rapidapi.com/unogs/api/unogs/,No,Requests,No,,
Web Search,https://rapidapi.com/contextualwebsearch/api/web-search/pricing,https://rapidapi.com/contextualwebsearch/api/web-search/,No,Requests,No,Pricing plan,https://rapidapi.com/contextualwebsearch/api/web-search/pricing
WordsAPI,https://rapidapi.com/dpventures/api/wordsapi/pricing,https://rapidapi.com/dpventures/api/wordsapi/,No,Requests,No,,
